rho,lmbda,n_proj,cr
0.1,16,30,0.001705
0.9,16,40,0.22987
0.8,16,40,0.225345
0.7,16,40,0.083045
0.6,16,40,0.044895
0.5,16,40,0.01461
0.4,16,40,0.01147
0.3,16,40,0.003535
0.2,16,40,0.003255
0.1,16,40,0.0021
0.9,16,50,0.22188
0.8,16,50,0.294385
0.7,16,50,0.020345
0.6,16,50,0.01231
0.5,16,50,0.01373
0.4,16,50,0.00898
0.3,16,50,0.004125
0.2,16,50,0.00425
0.1,16,50,0.00292
0.9,17,1,0.000505
0.8,17,1,0.0002
0.7,17,1,0.000515
0.6,17,1,0.000875
0.5,17,1,0.040045
0.4,17,1,0.000235
0.3,17,1,4e-05
0.2,17,1,4.5e-05
0.1,17,1,4.5e-05
0.9,17,10,0.04114
0.8,17,10,0.121665
0.7,17,10,0.07118
0.6,17,10,0.00194
0.5,17,10,0.010515
0.4,17,10,0.001105
0.3,17,10,0.00105
0.2,17,10,0.000725
0.1,17,10,0.00039
0.9,17,20,0.083675
0.8,17,20,0.015135
0.7,17,20,0.064545
0.6,17,20,0.0056
0.5,17,20,0.00479
0.4,17,20,0.00154
0.3,17,20,0.0016
0.2,17,20,0.00107
0.1,17,20,0.00149
0.9,17,30,0.156045
0.8,17,30,0.064895
0.7,17,30,0.14793
0.6,17,30,0.039505
0.5,17,30,0.00424
0.4,17,30,0.002405
0.3,17,30,0.00328
0.2,17,30,0.001755
0.1,17,30,0.001415
0.9,17,40,0.198755
0.8,17,40,0.118255
0.7,17,40,0.0878
0.6,17,40,0.01753
0.5,17,40,0.00799
0.4,17,40,0.004775
0.3,17,40,0.004065
0.2,17,40,0.00198
0.1,17,40,0.002345
0.9,17,50,0.358215
0.8,17,50,0.0867
0.7,17,50,0.07703
0.6,17,50,0.032315
0.5,17,50,0.00957
0.4,17,50,0.006735
0.3,17,50,0.004385
0.2,17,50,0.00323
0.1,17,50,0.002295
0.9,18,1,0.00046
0.8,18,1,5e-05
0.7,18,1,0.00064
0.6,18,1,0.00294
0.5,18,1,0.00017
0.4,18,1,6.5e-05
0.3,18,1,0.00017
0.2,18,1,0.000135
0.1,18,1,7e-05
0.9,18,10,0.05559
0.8,18,10,0.019445
0.7,18,10,0.00256
0.6,18,10,0.002035
0.5,18,10,0.00127
0.4,18,10,0.00062
0.3,18,10,0.000595
0.2,18,10,0.000645
0.1,18,10,0.000465
0.9,18,20,0.079045
0.8,18,20,0.0243
0.7,18,20,0.04708
0.6,18,20,0.04045
0.5,18,20,0.002065
0.4,18,20,0.00196
0.3,18,20,0.001375
0.2,18,20,0.00118
0.1,18,20,0.001005
0.9,18,30,0.114105
0.8,18,30,0.10513
0.7,18,30,0.012925
0.6,18,30,0.011095
0.5,18,30,0.004325
0.4,18,30,0.00699
0.3,18,30,0.00215
0.2,18,30,0.001565
0.1,18,30,0.002005
0.9,18,40,0.21349
0.8,18,40,0.058815
0.7,18,40,0.070055
0.6,18,40,0.014745
0.5,18,40,0.004885
0.4,18,40,0.006735
0.3,18,40,0.002575
0.2,18,40,0.002915
0.1,18,40,0.001835
0.9,18,50,0.39342
0.8,18,50,0.247005
0.7,18,50,0.154195
0.6,18,50,0.0119
0.5,18,50,0.014135
0.4,18,50,0.00449
0.3,18,50,0.00395
0.2,18,50,0.002945
0.1,18,50,0.002295
0.9,19,1,0.00012
0.8,19,1,7e-05
0.7,19,1,0.000175
0.6,19,1,8e-05
0.5,19,1,7e-05
0.4,19,1,7e-05
0.3,19,1,6e-05
0.2,19,1,6e-05
0.1,19,1,1.5e-05
0.9,19,10,0.01066
0.8,19,10,0.00179
0.7,19,10,0.091995
0.6,19,10,0.00165
0.5,19,10,0.002065
0.4,19,10,0.00089
0.3,19,10,0.0005
0.2,19,10,0.00058
0.1,19,10,0.00052
0.9,19,20,0.02721
0.8,19,20,0.056095
0.7,19,20,0.005945
0.6,19,20,0.002705
0.5,19,20,0.002685
0.4,19,20,0.001475
0.3,19,20,0.001125
0.2,19,20,0.000955
0.1,19,20,0.00101
0.9,19,30,0.120545
0.8,19,30,0.037795
0.7,19,30,0.006515
0.6,19,30,0.009025
0.5,19,30,0.003415
0.4,19,30,0.003935
0.3,19,30,0.00481
0.2,19,30,0.001585
0.1,19,30,0.001305
0.9,19,40,0.136635
0.8,19,40,0.014975
0.7,19,40,0.01615
0.6,19,40,0.012805
0.5,19,40,0.006005
0.4,19,40,0.00337
0.3,19,40,0.00289
0.2,19,40,0.00194
0.1,19,40,0.001675
0.9,19,50,0.24359
0.8,19,50,0.01979
0.7,19,50,0.111705
0.6,19,50,0.011405
0.5,19,50,0.005785
0.4,19,50,0.003365
0.3,19,50,0.004075
0.2,19,50,0.002765
0.1,19,50,0.00237
