lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,14,mixed_model,0.1,,
5,1,0.00025,14,mixed_model,0.2,,
5,1,0.00025,14,mixed_model,0.30000000000000004,,
5,1,0.00025,14,mixed_model,0.4,,
5,1,0.00025,14,mixed_model,0.5,,
5,1,0.00025,14,mixed_model,0.6,,
5,1,0.00025,14,mixed_model,0.7000000000000001,,
5,1,0.00025,14,mixed_model,0.8,,
5,1,0.00025,14,mixed_model,0.9,,
5,1,0.00025,14,mixture_model,0.1,,
5,1,0.00025,14,mixture_model,0.2,,
5,1,0.00025,14,mixture_model,0.30000000000000004,,
5,1,0.00025,14,mixture_model,0.4,,
5,1,0.00025,14,mixture_model,0.5,,
5,1,0.00025,14,mixture_model,0.6,,
5,1,0.00025,14,mixture_model,0.7000000000000001,,
5,1,0.00025,14,mixture_model,0.8,,
5,1,0.00025,14,mixture_model,0.9,,
5,1,0.00025,14,true_distr,0.1,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.2,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.30000000000000004,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.4,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.5,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.6,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.7000000000000001,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.8,0.114,3.3659349792095608
5,1,0.00025,14,true_distr,0.9,0.114,3.3659349792095608
5,1,0.00025,15,mixed_model,0.1,,
5,1,0.00025,15,mixed_model,0.2,,
5,1,0.00025,15,mixed_model,0.30000000000000004,,
5,1,0.00025,15,mixed_model,0.4,,
5,1,0.00025,15,mixed_model,0.5,,
5,1,0.00025,15,mixed_model,0.6,,
5,1,0.00025,15,mixed_model,0.7000000000000001,,
5,1,0.00025,15,mixed_model,0.8,,
5,1,0.00025,15,mixed_model,0.9,,
5,1,0.00025,15,mixture_model,0.1,,
5,1,0.00025,15,mixture_model,0.2,,
5,1,0.00025,15,mixture_model,0.30000000000000004,,
5,1,0.00025,15,mixture_model,0.4,,
5,1,0.00025,15,mixture_model,0.5,,
5,1,0.00025,15,mixture_model,0.6,,
5,1,0.00025,15,mixture_model,0.7000000000000001,,
5,1,0.00025,15,mixture_model,0.8,,
5,1,0.00025,15,mixture_model,0.9,,
5,1,0.00025,15,true_distr,0.1,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.2,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.30000000000000004,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.4,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.5,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.6,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.7000000000000001,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.8,0.0565,3.421007492289744
5,1,0.00025,15,true_distr,0.9,0.0565,3.421007492289744
5,1,0.00025,16,mixed_model,0.1,,
5,1,0.00025,16,mixed_model,0.2,,
5,1,0.00025,16,mixed_model,0.30000000000000004,,
5,1,0.00025,16,mixed_model,0.4,,
5,1,0.00025,16,mixed_model,0.5,,
5,1,0.00025,16,mixed_model,0.6,,
5,1,0.00025,16,mixed_model,0.7000000000000001,,
5,1,0.00025,16,mixed_model,0.8,,
5,1,0.00025,16,mixed_model,0.9,,
5,1,0.00025,16,mixture_model,0.1,,
5,1,0.00025,16,mixture_model,0.2,,
5,1,0.00025,16,mixture_model,0.30000000000000004,,
5,1,0.00025,16,mixture_model,0.4,,
5,1,0.00025,16,mixture_model,0.5,,
